Feedback ID,Comment,Rating,Feedback Date,Product ID,Customer ID
1,No issues.,4,11/10/2020,145,316
2,"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5,11/10/2020,18,70
3,it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4,11/10/2020,51,224
4,"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5,11/10/2020,2,197
5,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5,23/11/2020,107,218
6,It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5,23/11/2020,143,11
7,I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5,23/11/2020,23,421
8,It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5,11/10/2020,254,342
9,"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5,11/10/2020,127,451
10,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5,11/10/2020,76,304
11,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",5,18/10/2020,184,166
12,"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",3,31/10/2020,10,226
13,THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,5,03/01/2021,11,292
14,"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",5,03/01/2021,26,305
15,"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",5,03/01/2021,73,257
16,"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",5,03/01/2021,68,95
17,got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,5,03/01/2021,167,73
